pred_01.png; Dice 0.8202416668047936; clDice 0.8553258114369526; 0-dim Betti 1.4583333333333333
pred_02.png; Dice 0.8500109417171201; clDice 0.8546299968716131; 0-dim Betti 1.0833333333333333
pred_03.png; Dice 0.7754299258661557; clDice 0.7533911114534722; 0-dim Betti 1.3055555555555556
pred_04.png; Dice 0.8260313453962516; clDice 0.7916020780456545; 0-dim Betti 0.7638888888888888
pred_05.png; Dice 0.8001267137149998; clDice 0.7663669576263932; 0-dim Betti 1.2083333333333333
pred_06.png; Dice 0.7840016715711027; clDice 0.7574867940065101; 0-dim Betti 1.1944444444444444
pred_07.png; Dice 0.8089271176241549; clDice 0.7868849081458076; 0-dim Betti 1.1111111111111112
pred_08.png; Dice 0.7961814889998354; clDice 0.783822867139039; 0-dim Betti 1.4166666666666667
pred_09.png; Dice 0.79177764674786; clDice 0.7896057816962092; 0-dim Betti 1.1527777777777777
pred_10.png; Dice 0.8026109074586668; clDice 0.7698513640634949; 0-dim Betti 1.3194444444444444
pred_11.png; Dice 0.8072842225622572; clDice 0.7841054741860868; 0-dim Betti 1.2916666666666667
pred_12.png; Dice 0.8199225661778876; clDice 0.8412455680241417; 0-dim Betti 1.1527777777777777
pred_13.png; Dice 0.8093836900989458; clDice 0.7927157771642731; 0-dim Betti 1.2361111111111112
pred_14.png; Dice 0.8132052264746252; clDice 0.8299806761231522; 0-dim Betti 1.1944444444444444
pred_15.png; Dice 0.7883719093135318; clDice 0.8183528531989787; 0-dim Betti 1.4305555555555556
pred_16.png; Dice 0.8340244765854152; clDice 0.8782905772297264; 0-dim Betti 1.4027777777777777
pred_17.png; Dice 0.8032432432432433; clDice 0.8251020392529871; 0-dim Betti 1.2222222222222223
pred_18.png; Dice 0.8159786662822753; clDice 0.8724375093353492; 0-dim Betti 1.2083333333333333
pred_19.png; Dice 0.8506151142355008; clDice 0.8783468812545318; 0-dim Betti 1.1666666666666667
pred_20.png; Dice 0.8089130231251755; clDice 0.8587393140385209; 0-dim Betti 1.4722222222222223

Average:
dice: 0.8103140781999899
cldice: 0.8144142170146447
0betti: 1.2395833333333335
